starttime	seconds	ctime	dtime	ttime	wait
Sun Nov 05 18:12:47 2023	1699197167	0	1272	1272	1272
Sun Nov 05 18:12:46 2023	1699197166	0	1274	1274	1274
Sun Nov 05 18:12:47 2023	1699197167	0	1277	1277	1277
Sun Nov 05 18:12:46 2023	1699197166	0	1284	1284	1284
Sun Nov 05 18:12:46 2023	1699197166	0	1298	1298	1298
Sun Nov 05 18:12:46 2023	1699197166	0	1314	1314	1314
Sun Nov 05 18:12:46 2023	1699197166	0	1354	1354	1354
Sun Nov 05 18:12:46 2023	1699197166	0	1377	1377	1377
Sun Nov 05 18:12:46 2023	1699197166	0	1425	1425	1425
Sun Nov 05 18:12:46 2023	1699197166	0	1441	1441	1441
Sun Nov 05 18:12:45 2023	1699197165	0	1538	1538	1538
Sun Nov 05 18:12:45 2023	1699197165	0	1557	1557	1557
Sun Nov 05 18:12:45 2023	1699197165	0	1563	1563	1563
Sun Nov 05 18:12:45 2023	1699197165	0	1574	1574	1573
Sun Nov 05 18:12:45 2023	1699197165	0	1585	1585	1585
Sun Nov 05 18:12:45 2023	1699197165	0	1597	1597	1597
Sun Nov 05 18:12:45 2023	1699197165	0	1602	1602	1602
Sun Nov 05 18:12:45 2023	1699197165	0	1637	1637	1636
Sun Nov 05 18:12:45 2023	1699197165	0	1637	1637	1637
Sun Nov 05 18:12:45 2023	1699197165	0	1637	1637	1637
Sun Nov 05 18:12:45 2023	1699197165	1	1639	1640	1639
Sun Nov 05 18:12:45 2023	1699197165	0	1641	1641	1641
Sun Nov 05 18:12:45 2023	1699197165	0	1646	1646	1646
Sun Nov 05 18:12:45 2023	1699197165	0	1675	1675	1675
Sun Nov 05 18:12:45 2023	1699197165	0	1676	1676	1676
Sun Nov 05 18:12:45 2023	1699197165	1	1681	1682	1681
Sun Nov 05 18:12:45 2023	1699197165	0	1682	1682	1682
Sun Nov 05 18:12:45 2023	1699197165	0	1720	1720	1720
Sun Nov 05 18:12:45 2023	1699197165	0	1721	1721	1721
Sun Nov 05 18:12:45 2023	1699197165	0	1721	1721	1721
Sun Nov 05 18:12:45 2023	1699197165	0	1723	1723	1723
Sun Nov 05 18:12:45 2023	1699197165	0	1726	1726	1726
Sun Nov 05 18:12:45 2023	1699197165	1	1726	1726	1726
Sun Nov 05 18:12:45 2023	1699197165	0	1728	1728	1728
Sun Nov 05 18:12:45 2023	1699197165	0	1819	1819	1819
Sun Nov 05 18:12:45 2023	1699197165	0	1849	1849	1849
Sun Nov 05 18:12:45 2023	1699197165	0	1850	1850	1850
Sun Nov 05 18:12:45 2023	1699197165	1	1857	1858	1857
